,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,additive,na,linear,47.61,48.309999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,linear,50.0,50.67
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,multiplicative,na,linear,48.03,48.730000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,logistic,67.29,68.55
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,additive,na,logistic,64.68,65.92
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,linear,49.4,50.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,multiplicative,na,logistic,64.63,65.86999999999999
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,additive,na,linear,48.05,48.74
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,logistic,61.46,62.41
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,multiplicative,na,linear,47.6,48.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,additive,na,logistic,60.4,61.35
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,multiplicative,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,logistic,48.22,49.370000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,linear,47.51,47.599999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,additive,na,linear,46.14,46.27
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,additive,na,logistic,47.32,48.44
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,linear,49.4,50.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,multiplicative,na,logistic,47.21,48.309999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,additive,na,linear,48.05,48.74
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,logistic,61.46,62.41
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,multiplicative,na,linear,46.0,46.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,multiplicative,na,linear,47.6,48.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,linear,49.6,50.27
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,additive,na,logistic,60.4,61.35
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,additive,na,linear,48.36,49.059999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,multiplicative,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,multiplicative,na,linear,47.84,48.53
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,additive,na,logistic,60.65,61.59
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,multiplicative,na,logistic,61.44,62.39
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.58,62.529999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,linear,47.34,47.39
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,additive,na,linear,44.71,44.75
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,additive,na,logistic,60.77,61.71
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,multiplicative,na,logistic,61.61,62.56
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,multiplicative,na,linear,45.72,45.76
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,logistic,48.22,49.370000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,linear,47.51,47.599999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,additive,na,logistic,47.32,48.44
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,additive,na,linear,46.14,46.27
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,multiplicative,na,logistic,47.21,48.309999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,multiplicative,na,linear,46.0,46.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,logistic,61.59,62.529999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,linear,47.19,47.28
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,additive,na,logistic,60.41,61.36000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,additive,na,linear,45.81,45.87
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,multiplicative,na,logistic,61.6,62.55
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,multiplicative,na,linear,46.0,46.03
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,47.66,48.78
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,47.14,47.18
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,additive,na,linear,45.53,45.56
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,additive,na,logistic,46.71,47.82
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,multiplicative,na,linear,45.74,45.79
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,multiplicative,na,logistic,46.34,47.32
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,na,linear,49.41,50.06
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,additive,na,linear,47.42,48.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,na,logistic,67.08,68.34
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,multiplicative,na,linear,48.14,48.82
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,additive,na,logistic,64.76,66.0
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,na,linear,49.12,49.769999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,multiplicative,na,logistic,64.75,65.99000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,additive,na,linear,48.02,48.69
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,na,logistic,60.99,61.92999999999999
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,multiplicative,na,linear,47.62,48.29
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,additive,na,logistic,60.21,61.14000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,multiplicative,na,logistic,61.14,62.08
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,na,linear,46.56,46.6
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,na,logistic,47.86,49.0
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,additive,na,logistic,46.74,47.85
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,additive,na,linear,45.46,45.43
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,multiplicative,na,linear,45.84,45.94
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,na,linear,49.12,49.769999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,multiplicative,na,logistic,46.41,47.510000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,additive,na,linear,48.02,48.69
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,multiplicative,na,linear,47.62,48.29
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,na,logistic,60.99,61.92999999999999
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,additive,na,logistic,60.21,61.14000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,na,linear,49.3,49.95
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,multiplicative,na,logistic,61.14,62.08
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,additive,na,linear,47.55,48.230000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,na,logistic,61.04,61.980000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,multiplicative,na,linear,48.05,48.71
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,additive,na,logistic,60.17,61.1
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,multiplicative,na,logistic,61.05,61.99
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,na,logistic,61.04,61.980000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,additive,na,linear,45.22,45.21
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,additive,na,logistic,60.39,61.31999999999999
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,na,linear,47.14,47.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,multiplicative,na,linear,45.48,45.46
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,na,linear,46.56,46.6
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,na,logistic,47.86,49.0
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,multiplicative,na,logistic,40.82,41.370000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,multiplicative,na,linear,45.84,45.94
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,additive,na,logistic,46.74,47.85
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,multiplicative,na,logistic,46.41,47.510000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,additive,na,linear,45.46,45.43
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,na,logistic,61.16,62.1
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,na,linear,46.74,46.77
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,additive,na,logistic,60.41,61.35
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,additive,na,linear,45.36,45.37
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,multiplicative,na,linear,45.59,45.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,46.8,46.82
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,multiplicative,na,logistic,40.31,40.9
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,47.77,48.91
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,additive,na,linear,45.31,45.28
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,additive,na,logistic,46.08,47.17
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,na,linear,49.93,50.6
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,multiplicative,na,linear,45.32,45.300000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,multiplicative,na,logistic,46.5,47.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,additive,na,linear,47.78,48.47
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,multiplicative,na,linear,48.46,49.16
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,na,logistic,61.46,62.41
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,additive,na,logistic,60.61,61.550000000000004
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,na,linear,49.31,49.99
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,multiplicative,na,logistic,63.84,64.81
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,additive,na,linear,48.45,49.15
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,na,logistic,61.36,62.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,multiplicative,na,linear,48.15,48.84
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,additive,na,logistic,60.67,61.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,multiplicative,na,logistic,61.43,62.38
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,na,logistic,61.39,62.339999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,na,linear,47.36,47.46
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,additive,na,logistic,60.93,61.870000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,multiplicative,na,linear,46.45,46.63
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,additive,na,linear,45.79,45.839999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,linear,49.31,49.99
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,multiplicative,na,logistic,41.48,42.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,additive,na,linear,48.45,49.15
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,multiplicative,na,linear,48.15,48.84
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,logistic,61.36,62.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,additive,na,logistic,60.67,61.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,linear,49.87,50.54
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,multiplicative,na,logistic,61.43,62.38
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,additive,na,linear,48.47,49.17
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,multiplicative,na,linear,47.8,48.49
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,additive,na,logistic,60.58,61.529999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,multiplicative,na,logistic,61.35,62.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.41,62.36000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,linear,47.34,47.43
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,additive,na,logistic,60.67,61.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,additive,na,linear,46.01,46.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,multiplicative,na,logistic,61.43,62.38
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,multiplicative,na,linear,46.07,46.22
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,logistic,61.39,62.339999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,linear,47.36,47.46
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,additive,na,logistic,60.93,61.870000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,additive,na,linear,45.79,45.839999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,multiplicative,na,linear,46.45,46.63
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,multiplicative,na,logistic,41.48,42.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,linear,47.33,47.43
