,region,market,funnel,account_type,ds,X,Month,Year,Italy_Desktop_-_Apr_2024,Italy_Desktop_-_Aug_2024,Italy_Desktop_-_Dec_2024,Italy_Desktop_-_Jul_2024,Italy_Desktop_-_Jun_2024,Italy_Desktop_-_May_2024,Italy_Desktop_-_Nov_2024,Italy_Desktop_-_Oct_2024,Italy_Desktop_-_Sep_2024,Italy_Mobile_&_Tablet_-_Apr_2024,Italy_Mobile_&_Tablet_-_Aug_2024,Italy_Mobile_&_Tablet_-_Dec_2024,Italy_Mobile_&_Tablet_-_Jul_2024,Italy_Mobile_&_Tablet_-_Jun_2024,Italy_Mobile_&_Tablet_-_May_2024,Italy_Mobile_&_Tablet_-_Nov_2024,Italy_Mobile_&_Tablet_-_Oct_2024,Italy_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
0,Europe,Italy,-,Desktop,2024-04-25,3521.83,Apr,2024,3521.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
1,Europe,Italy,-,Desktop,2024-04-26,5060.699999999999,Apr,2024,5060.699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
2,Europe,Italy,-,Desktop,2024-04-27,613.9399999999999,Apr,2024,613.9399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
3,Europe,Italy,-,Desktop,2024-04-28,402.52,Apr,2024,402.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
4,Europe,Italy,-,Desktop,2024-04-29,1086.8300000000002,Apr,2024,1086.8300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
5,Europe,Italy,-,Desktop,2024-04-30,4069.969999999999,Apr,2024,4069.969999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
6,Europe,Italy,-,Desktop,2024-05-01,3843.7999999999997,May,2024,0.0,0.0,0.0,0.0,0.0,3843.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
7,Europe,Italy,-,Desktop,2024-05-02,3605.6600000000008,May,2024,0.0,0.0,0.0,0.0,0.0,3605.6600000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
8,Europe,Italy,-,Desktop,2024-05-03,3340.87,May,2024,0.0,0.0,0.0,0.0,0.0,3340.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
9,Europe,Italy,-,Desktop,2024-05-04,881.47,May,2024,0.0,0.0,0.0,0.0,0.0,881.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
10,Europe,Italy,-,Desktop,2024-05-05,687.5799999999998,May,2024,0.0,0.0,0.0,0.0,0.0,687.5799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
11,Europe,Italy,-,Desktop,2024-05-06,3193.520000000001,May,2024,0.0,0.0,0.0,0.0,0.0,3193.520000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
12,Europe,Italy,-,Desktop,2024-05-07,1497.22,May,2024,0.0,0.0,0.0,0.0,0.0,1497.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
13,Europe,Italy,-,Desktop,2024-05-08,1579.2100000000003,May,2024,0.0,0.0,0.0,0.0,0.0,1579.2100000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
14,Europe,Italy,-,Desktop,2024-05-09,1161.9799999999998,May,2024,0.0,0.0,0.0,0.0,0.0,1161.9799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
15,Europe,Italy,-,Desktop,2024-05-10,1174.05,May,2024,0.0,0.0,0.0,0.0,0.0,1174.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
16,Europe,Italy,-,Desktop,2024-05-11,230.92,May,2024,0.0,0.0,0.0,0.0,0.0,230.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
17,Europe,Italy,-,Desktop,2024-05-12,224.07000000000002,May,2024,0.0,0.0,0.0,0.0,0.0,224.07000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
18,Europe,Italy,-,Desktop,2024-05-13,1313.9999999999998,May,2024,0.0,0.0,0.0,0.0,0.0,1313.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
19,Europe,Italy,-,Desktop,2024-05-14,1362.7299999999998,May,2024,0.0,0.0,0.0,0.0,0.0,1362.7299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
20,Europe,Italy,-,Desktop,2024-05-15,1188.6499999999999,May,2024,0.0,0.0,0.0,0.0,0.0,1188.6499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
21,Europe,Italy,-,Desktop,2024-05-16,1126.3799999999999,May,2024,0.0,0.0,0.0,0.0,0.0,1126.3799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
22,Europe,Italy,-,Desktop,2024-05-17,1242.8099999999997,May,2024,0.0,0.0,0.0,0.0,0.0,1242.8099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
23,Europe,Italy,-,Desktop,2024-05-18,783.29,May,2024,0.0,0.0,0.0,0.0,0.0,783.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
24,Europe,Italy,-,Desktop,2024-05-19,616.0599999999997,May,2024,0.0,0.0,0.0,0.0,0.0,616.0599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
25,Europe,Italy,-,Desktop,2024-05-20,3495.3099999999995,May,2024,0.0,0.0,0.0,0.0,0.0,3495.3099999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
26,Europe,Italy,-,Desktop,2024-05-21,3373.9400000000005,May,2024,0.0,0.0,0.0,0.0,0.0,3373.9400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
27,Europe,Italy,-,Desktop,2024-05-22,3310.65,May,2024,0.0,0.0,0.0,0.0,0.0,3310.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
28,Europe,Italy,-,Desktop,2024-05-23,2627.6099999999997,May,2024,0.0,0.0,0.0,0.0,0.0,2627.6099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
29,Europe,Italy,-,Desktop,2024-05-24,1295.89,May,2024,0.0,0.0,0.0,0.0,0.0,1295.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
30,Europe,Italy,-,Desktop,2024-05-25,72.0,May,2024,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
31,Europe,Italy,-,Desktop,2024-05-26,63.34,May,2024,0.0,0.0,0.0,0.0,0.0,63.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
32,Europe,Italy,-,Desktop,2024-05-27,262.09000000000003,May,2024,0.0,0.0,0.0,0.0,0.0,262.09000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
33,Europe,Italy,-,Desktop,2024-05-28,226.74,May,2024,0.0,0.0,0.0,0.0,0.0,226.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
34,Europe,Italy,-,Desktop,2024-05-29,586.1800000000001,May,2024,0.0,0.0,0.0,0.0,0.0,586.1800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
35,Europe,Italy,-,Desktop,2024-05-30,2645.8600000000006,May,2024,0.0,0.0,0.0,0.0,0.0,2645.8600000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
36,Europe,Italy,-,Desktop,2024-05-31,782.93,May,2024,0.0,0.0,0.0,0.0,0.0,782.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
37,Europe,Italy,-,Desktop,2024-06-01,840.3800000000002,Jun,2024,0.0,0.0,0.0,0.0,840.3800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
38,Europe,Italy,-,Desktop,2024-06-02,698.0899999999999,Jun,2024,0.0,0.0,0.0,0.0,698.0899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
39,Europe,Italy,-,Desktop,2024-06-03,4256.469999999999,Jun,2024,0.0,0.0,0.0,0.0,4256.469999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
40,Europe,Italy,-,Desktop,2024-06-04,3113.03,Jun,2024,0.0,0.0,0.0,0.0,3113.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
41,Europe,Italy,-,Desktop,2024-06-05,1847.96,Jun,2024,0.0,0.0,0.0,0.0,1847.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
42,Europe,Italy,-,Desktop,2024-06-06,1634.8400000000001,Jun,2024,0.0,0.0,0.0,0.0,1634.8400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
43,Europe,Italy,-,Desktop,2024-06-07,1361.8199999999997,Jun,2024,0.0,0.0,0.0,0.0,1361.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
44,Europe,Italy,-,Desktop,2024-06-08,301.52000000000004,Jun,2024,0.0,0.0,0.0,0.0,301.52000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
45,Europe,Italy,-,Desktop,2024-06-09,276.0299999999999,Jun,2024,0.0,0.0,0.0,0.0,276.0299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
46,Europe,Italy,-,Desktop,2024-06-10,1638.6800000000003,Jun,2024,0.0,0.0,0.0,0.0,1638.6800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
47,Europe,Italy,-,Desktop,2024-06-11,1458.43,Jun,2024,0.0,0.0,0.0,0.0,1458.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
48,Europe,Italy,-,Desktop,2024-06-12,1609.8899999999999,Jun,2024,0.0,0.0,0.0,0.0,1609.8899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
49,Europe,Italy,-,Desktop,2024-06-13,1234.3000000000002,Jun,2024,0.0,0.0,0.0,0.0,1234.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
50,Europe,Italy,-,Desktop,2024-06-14,1207.51,Jun,2024,0.0,0.0,0.0,0.0,1207.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
51,Europe,Italy,-,Desktop,2024-06-15,442.34,Jun,2024,0.0,0.0,0.0,0.0,442.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
52,Europe,Italy,-,Desktop,2024-06-16,517.42,Jun,2024,0.0,0.0,0.0,0.0,517.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
53,Europe,Italy,-,Desktop,2024-06-17,3650.7099999999996,Jun,2024,0.0,0.0,0.0,0.0,3650.7099999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
54,Europe,Italy,-,Desktop,2024-06-18,3539.84,Jun,2024,0.0,0.0,0.0,0.0,3539.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
55,Europe,Italy,-,Desktop,2024-06-19,1375.9399999999998,Jun,2024,0.0,0.0,0.0,0.0,1375.9399999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
56,Europe,Italy,-,Desktop,2024-06-20,1721.9799999999996,Jun,2024,0.0,0.0,0.0,0.0,1721.9799999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
57,Europe,Italy,-,Desktop,2024-06-21,1655.5899999999997,Jun,2024,0.0,0.0,0.0,0.0,1655.5899999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
58,Europe,Italy,-,Desktop,2024-06-22,411.74999999999994,Jun,2024,0.0,0.0,0.0,0.0,411.74999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
59,Europe,Italy,-,Desktop,2024-06-23,409.0,Jun,2024,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
60,Europe,Italy,-,Desktop,2024-06-24,2204.9500000000003,Jun,2024,0.0,0.0,0.0,0.0,2204.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
61,Europe,Italy,-,Desktop,2024-06-25,1753.31,Jun,2024,0.0,0.0,0.0,0.0,1753.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
62,Europe,Italy,-,Desktop,2024-06-26,2168.3599999999997,Jun,2024,0.0,0.0,0.0,0.0,2168.3599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
63,Europe,Italy,-,Desktop,2024-06-27,1904.2,Jun,2024,0.0,0.0,0.0,0.0,1904.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
64,Europe,Italy,-,Desktop,2024-06-28,1682.75,Jun,2024,0.0,0.0,0.0,0.0,1682.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
65,Europe,Italy,-,Desktop,2024-06-29,511.44000000000005,Jun,2024,0.0,0.0,0.0,0.0,511.44000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
66,Europe,Italy,-,Desktop,2024-06-30,400.96,Jun,2024,0.0,0.0,0.0,0.0,400.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
67,Europe,Italy,-,Desktop,2024-07-01,2143.18,Jul,2024,0.0,0.0,0.0,2143.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
68,Europe,Italy,-,Desktop,2024-07-02,1758.77,Jul,2024,0.0,0.0,0.0,1758.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
69,Europe,Italy,-,Desktop,2024-07-03,2034.71,Jul,2024,0.0,0.0,0.0,2034.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
70,Europe,Italy,-,Desktop,2024-07-04,959.6799999999998,Jul,2024,0.0,0.0,0.0,959.6799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
71,Europe,Italy,-,Desktop,2024-07-05,816.8900000000001,Jul,2024,0.0,0.0,0.0,816.8900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
72,Europe,Italy,-,Desktop,2024-07-06,226.13999999999996,Jul,2024,0.0,0.0,0.0,226.13999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
73,Europe,Italy,-,Desktop,2024-07-07,206.19,Jul,2024,0.0,0.0,0.0,206.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
74,Europe,Italy,-,Desktop,2024-07-08,997.52,Jul,2024,0.0,0.0,0.0,997.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
75,Europe,Italy,-,Desktop,2024-07-09,980.1100000000001,Jul,2024,0.0,0.0,0.0,980.1100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
76,Europe,Italy,-,Desktop,2024-07-10,988.2499999999999,Jul,2024,0.0,0.0,0.0,988.2499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
77,Europe,Italy,-,Desktop,2024-07-11,1026.6100000000004,Jul,2024,0.0,0.0,0.0,1026.6100000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
78,Europe,Italy,-,Desktop,2024-07-12,999.26,Jul,2024,0.0,0.0,0.0,999.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
79,Europe,Italy,-,Desktop,2024-07-13,259.06000000000006,Jul,2024,0.0,0.0,0.0,259.06000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
80,Europe,Italy,-,Desktop,2024-07-14,180.58,Jul,2024,0.0,0.0,0.0,180.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
81,Europe,Italy,-,Desktop,2024-07-15,1192.0700000000002,Jul,2024,0.0,0.0,0.0,1192.0700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
82,Europe,Italy,-,Desktop,2024-07-16,1114.4699999999998,Jul,2024,0.0,0.0,0.0,1114.4699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
83,Europe,Italy,-,Desktop,2024-07-17,1157.37,Jul,2024,0.0,0.0,0.0,1157.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
84,Europe,Italy,-,Desktop,2024-07-18,1237.35,Jul,2024,0.0,0.0,0.0,1237.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
85,Europe,Italy,-,Desktop,2024-07-19,942.7800000000001,Jul,2024,0.0,0.0,0.0,942.7800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
86,Europe,Italy,-,Desktop,2024-07-20,225.75,Jul,2024,0.0,0.0,0.0,225.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
87,Europe,Italy,-,Desktop,2024-07-21,245.65999999999994,Jul,2024,0.0,0.0,0.0,245.65999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
88,Europe,Italy,-,Desktop,2024-07-22,1354.6799999999998,Jul,2024,0.0,0.0,0.0,1354.6799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
89,Europe,Italy,-,Desktop,2024-07-23,1324.6,Jul,2024,0.0,0.0,0.0,1324.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
90,Europe,Italy,-,Desktop,2024-07-24,1301.86,Jul,2024,0.0,0.0,0.0,1301.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
91,Europe,Italy,-,Desktop,2024-07-25,1128.86,Jul,2024,0.0,0.0,0.0,1128.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
92,Europe,Italy,-,Desktop,2024-07-26,1201.37,Jul,2024,0.0,0.0,0.0,1201.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
93,Europe,Italy,-,Desktop,2024-07-27,462.49999999999994,Jul,2024,0.0,0.0,0.0,462.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
94,Europe,Italy,-,Desktop,2024-07-28,359.7699999999999,Jul,2024,0.0,0.0,0.0,359.7699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
95,Europe,Italy,-,Desktop,2024-07-29,1963.9400000000003,Jul,2024,0.0,0.0,0.0,1963.9400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
96,Europe,Italy,-,Desktop,2024-07-30,1634.0900000000001,Jul,2024,0.0,0.0,0.0,1634.0900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
97,Europe,Italy,-,Desktop,2024-07-31,1711.71,Jul,2024,0.0,0.0,0.0,1711.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
98,Europe,Italy,-,Desktop,2024-08-01,1629.4899999999998,Aug,2024,0.0,1629.4899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
99,Europe,Italy,-,Desktop,2024-08-02,1458.3999999999999,Aug,2024,0.0,1458.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
